"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Avg Time","Max Time","Activity Calories","Total Elev Gain","Avg Elevation Gain","Max Elevation Gain","Elevation Loss","Avg Elevation Loss","Max Elevation Loss","Average Speed","Max Speed","Average Pace","Best Pace","Average Heart Rate","Max Heart Rate","Average Run Cadence","Max Run Cadence","Average Bike Cadence","Max Bike Cadence","Average Power","Max Power","Vertical Oscillation","Ground Contact Time","Average Stride Length"
"06/11/2018","2","7.84 mi","3.92 mi","4.74 mi","55:07 h:m:s","27:33 h:m:s","34:08 h:m:s","735 C","96 ft","48 ft","84 ft","97 ft","49 ft","88 ft","8.6 mph","12.3 mph","6:59 min/mi","4:52 min/mi","--","--","79 spm","89 spm","--","--","--","--","--","--","1.46 m"
"06/04/2018","2","8.23 mi","4.12 mi","4.56 mi","57:44 h:m:s","28:52 h:m:s","32:48 h:m:s","771 C","338 ft","169 ft","194 ft","383 ft","192 ft","216 ft","8.6 mph","11.3 mph","6:59 min/mi","5:18 min/mi","--","--","80 spm","91 spm","--","--","--","--","--","--","1.44 m"
"05/28/2018","1","3.19 mi","3.19 mi","3.19 mi","23:44 h:m:s","23:44 h:m:s","23:44 h:m:s","303 C","216 ft","216 ft","216 ft","27 ft","27 ft","27 ft","8.1 mph","61.6 mph","7:27 min/mi","0:58 min/mi","--","--","81 spm","89 spm","--","--","--","--","--","--","1.32 m"
"05/21/2018","2","10.73 mi","5.36 mi","6.56 mi","1:28:08 h:m:s","44:04 h:m:s","51:06 h:m:s","741 C","546 ft","273 ft","401 ft","826 ft","413 ft","667 ft","7.2 mph","11.5 mph","8:18 min/mi","5:14 min/mi","139 bpm","176 bpm","75 spm","127 spm","--","--","--","--","11.3 cm","226 ms","1.30 m"
"05/07/2018","1","5.00 mi","5.00 mi","5.00 mi","37:08 h:m:s","37:08 h:m:s","37:08 h:m:s","473 C","181 ft","181 ft","181 ft","178 ft","178 ft","178 ft","8.1 mph","13.3 mph","7:26 min/mi","4:30 min/mi","--","--","76 spm","95 spm","--","--","--","--","--","--","1.41 m"
"04/30/2018","4","35.84 mi","8.96 mi","11.45 mi","4:52:13 h:m:s","1:13:03 h:m:s","1:34:41 h:m:s","2,941 C","799 ft","200 ft","265 ft","835 ft","209 ft","335 ft","7.4 mph","41.0 mph","8:06 min/mi","1:28 min/mi","153 bpm","175 bpm","76 spm","122 spm","--","--","--","--","12.3 cm","202 ms","1.28 m"
"04/23/2018","6","29.86 mi","4.98 mi","8.09 mi","3:53:33 h:m:s","38:56 h:m:s","1:03:38 h:m:s","2,509 C","1,324 ft","331 ft","1,042 ft","1,795 ft","449 ft","1,642 ft","7.6 mph","19.4 mph","7:52 min/mi","3:05 min/mi","150 bpm","177 bpm","82 spm","127 spm","--","--","--","--","12.5 cm","202 ms","1.24 m"
"04/16/2018","6","49.59 mi","8.26 mi","11.67 mi","6:10:36 h:m:s","1:01:46 h:m:s","1:31:18 h:m:s","4,095 C","2,188 ft","438 ft","1,828 ft","2,374 ft","475 ft","2,004 ft","8.1 mph","18.8 mph","7:26 min/mi","3:11 min/mi","136 bpm","180 bpm","67 spm","122 spm","--","--","--","--","6.1 cm","99 ms","1.30 m"
"04/09/2018","5","46.68 mi","9.34 mi","13.65 mi","6:02:49 h:m:s","1:12:34 h:m:s","1:48:33 h:m:s","3,429 C","2,228 ft","446 ft","1,436 ft","2,421 ft","484 ft","1,615 ft","7.8 mph","19.1 mph","7:44 min/mi","3:09 min/mi","138 bpm","172 bpm","79 spm","127 spm","--","--","--","--","11.6 cm","212 ms","1.29 m"
"04/02/2018","4","28.89 mi","7.22 mi","10.71 mi","4:04:32 h:m:s","1:01:08 h:m:s","1:25:13 h:m:s","2,653 C","1,281 ft","427 ft","1,066 ft","1,465 ft","488 ft","1,240 ft","7.2 mph","16.8 mph","8:22 min/mi","3:34 min/mi","--","--","75 spm","122 spm","--","--","--","--","--","--","1.27 m"
