"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Avg Time","Max Time","Activity Calories","Total Elev Gain","Avg Elevation Gain","Max Elevation Gain","Elevation Loss","Avg Elevation Loss","Max Elevation Loss","Average Speed","Max Speed","Average Pace","Best Pace","Average Heart Rate","Max Heart Rate","Average Run Cadence","Max Run Cadence","Average Bike Cadence","Max Bike Cadence","Average Power","Max Power","Vertical Oscillation","Ground Contact Time","Average Stride Length"
"04/10/2017","7","18.61 mi","2.66 mi","5.21 mi","2:51:22 h:m:s","24:29 h:m:s","43:53 h:m:s","1,683 C","430 ft","72 ft","128 ft","375 ft","62 ft","113 ft","6.4 mph","142.3 mph","9:25 min/mi","0:25 min/mi","132 bpm","161 bpm","76 spm","121 spm","--","--","--","--","--","--","1.10 m"
"04/03/2017","5","20.87 mi","4.17 mi","5.54 mi","4:16:50 h:m:s","51:22 h:m:s","1:50:01 h:m:s","1,732 C","2,452 ft","490 ft","1,129 ft","2,971 ft","594 ft","1,550 ft","6.2 mph","23.4 mph","9:45 min/mi","2:34 min/mi","--","--","70 spm","120 spm","--","--","--","--","--","--","1.13 m"
"03/27/2017","5","18.66 mi","3.73 mi","5.79 mi","4:08:00 h:m:s","49:36 h:m:s","2:08:53 h:m:s","1,594 C","417 ft","83 ft","209 ft","438 ft","88 ft","208 ft","6.1 mph","17.5 mph","9:49 min/mi","3:25 min/mi","--","--","70 spm","114 spm","--","--","--","--","--","--","1.15 m"
"03/20/2017","7","13.58 mi","1.94 mi","5.20 mi","1:39:47 h:m:s","14:15 h:m:s","40:52 h:m:s","1,174 C","99 ft","33 ft","85 ft","91 ft","30 ft","86 ft","10.6 mph","19.8 mph","5:39 min/mi","3:02 min/mi","--","--","79 spm","123 spm","--","--","--","--","--","--","1.44 m"
"03/13/2017","5","13.73 mi","2.75 mi","5.57 mi","1:38:38 h:m:s","19:44 h:m:s","41:47 h:m:s","1,179 C","128 ft","43 ft","51 ft","201 ft","67 ft","96 ft","10.2 mph","28.9 mph","5:54 min/mi","2:05 min/mi","--","--","81 spm","119 spm","--","--","--","--","--","--","1.33 m"
"03/06/2017","8","46.15 mi","5.77 mi","13.21 mi","5:43:39 h:m:s","42:57 h:m:s","1:30:36 h:m:s","4,017 C","1,561 ft","195 ft","585 ft","1,723 ft","246 ft","754 ft","8.5 mph","25.2 mph","7:05 min/mi","2:23 min/mi","139 bpm","175 bpm","80 spm","120 spm","--","--","--","--","12.5 cm","206 ms","1.40 m"
"02/27/2017","4","22.22 mi","5.56 mi","8.72 mi","2:47:36 h:m:s","41:54 h:m:s","59:34 h:m:s","2,011 C","391 ft","130 ft","258 ft","412 ft","103 ft","251 ft","7.8 mph","17.4 mph","7:43 min/mi","3:27 min/mi","--","--","77 spm","97 spm","--","--","--","--","--","--","1.35 m"
"02/20/2017","3","15.02 mi","5.01 mi","7.05 mi","1:54:49 h:m:s","38:16 h:m:s","50:18 h:m:s","1,381 C","316 ft","105 ft","136 ft","309 ft","103 ft","128 ft","7.7 mph","19.2 mph","7:45 min/mi","3:07 min/mi","--","--","78 spm","114 spm","--","--","--","--","--","--","1.32 m"
"02/13/2017","2","12.38 mi","6.19 mi","8.02 mi","1:34:39 h:m:s","47:20 h:m:s","1:04:00 h:m:s","1,133 C","308 ft","154 ft","178 ft","325 ft","162 ft","194 ft","8.0 mph","80.9 mph","7:29 min/mi","0:44 min/mi","--","--","77 spm","108 spm","--","--","--","--","--","--","1.39 m"
"02/06/2017","1","2.47 mi","2.47 mi","2.47 mi","32:33 h:m:s","32:33 h:m:s","32:33 h:m:s","116 C","25 ft","25 ft","25 ft","88 ft","88 ft","88 ft","4.6 mph","10.5 mph","13:10 min/mi","5:42 min/mi","--","--","--","--","--","--","--","--","--","--","--"
"01/30/2017","4","6.24 mi","1.56 mi","3.33 mi","41:49 h:m:s","10:27 h:m:s","23:08 h:m:s","476 C","79 ft","26 ft","68 ft","85 ft","43 ft","79 ft","9.2 mph","43.1 mph","6:30 min/mi","1:24 min/mi","140 bpm","169 bpm","76 spm","120 spm","--","--","--","--","11.2 cm","201 ms","1.65 m"
"01/23/2017","1","4.33 mi","4.33 mi","4.33 mi","33:17 h:m:s","33:17 h:m:s","33:17 h:m:s","400 C","95 ft","95 ft","95 ft","85 ft","85 ft","85 ft","7.8 mph","10.9 mph","7:41 min/mi","5:30 min/mi","--","--","77 spm","91 spm","--","--","--","--","--","--","1.35 m"
"01/16/2017","1","3.01 mi","3.01 mi","3.01 mi","41:36 h:m:s","41:36 h:m:s","41:36 h:m:s","205 C","61 ft","61 ft","61 ft","121 ft","121 ft","121 ft","4.3 mph","33.0 mph","13:50 min/mi","1:49 min/mi","--","--","36 spm","81 spm","--","--","--","--","--","--","1.75 m"
"01/02/2017","4","14.47 mi","3.62 mi","5.00 mi","2:22:29 h:m:s","35:37 h:m:s","46:58 h:m:s","1,216 C","237 ft","79 ft","151 ft","224 ft","75 ft","127 ft","6.6 mph","35.1 mph","9:06 min/mi","1:42 min/mi","--","--","61 spm","87 spm","--","--","--","--","--","--","1.23 m"
"12/26/2016","2","7.49 mi","3.75 mi","3.96 mi","1:03:04 h:m:s","31:32 h:m:s","32:00 h:m:s","694 C","165 ft","83 ft","123 ft","168 ft","84 ft","124 ft","7.1 mph","23.5 mph","8:24 min/mi","2:33 min/mi","--","--","78 spm","86 spm","--","--","--","--","--","--","1.23 m"
"12/19/2016","6","19.68 mi","3.28 mi","4.63 mi","4:28:23 h:m:s","44:44 h:m:s","1:26:13 h:m:s","1,623 C","792 ft","198 ft","294 ft","589 ft","147 ft","295 ft","6.0 mph","10.3 mph","10:01 min/mi","5:51 min/mi","--","--","59 spm","108 spm","--","--","--","--","--","--","1.05 m"
"11/28/2016","6","22.99 mi","3.83 mi","6.54 mi","3:04:13 h:m:s","30:42 h:m:s","52:08 h:m:s","1,932 C","709 ft","142 ft","648 ft","723 ft","145 ft","656 ft","7.7 mph","48.4 mph","7:47 min/mi","1:14 min/mi","--","--","76 spm","124 spm","--","--","--","--","--","--","1.25 m"
"11/21/2016","6","24.69 mi","4.11 mi","6.58 mi","3:40:34 h:m:s","36:46 h:m:s","47:47 h:m:s","7,950 C","1,580 ft","316 ft","622 ft","1,733 ft","347 ft","757 ft","6.9 mph","22.0 mph","8:38 min/mi","2:44 min/mi","--","--","75 spm","97 spm","--","--","--","--","--","--","1.16 m"
"11/14/2016","3","9.57 mi","3.19 mi","6.10 mi","1:15:53 h:m:s","25:18 h:m:s","50:50 h:m:s","816 C","184 ft","61 ft","126 ft","80 ft","27 ft","38 ft","7.9 mph","18.9 mph","7:37 min/mi","3:11 min/mi","151 bpm","181 bpm","81 spm","127 spm","--","--","--","--","11.6 cm","215 ms","1.29 m"
"11/07/2016","7","27.80 mi","3.97 mi","6.83 mi","3:15:14 h:m:s","27:53 h:m:s","47:01 h:m:s","2,439 C","864 ft","144 ft","380 ft","855 ft","142 ft","387 ft","8.4 mph","20.4 mph","7:07 min/mi","2:56 min/mi","140 bpm","174 bpm","70 spm","121 spm","--","--","--","--","--","--","1.36 m"
"10/31/2016","5","18.19 mi","3.64 mi","6.39 mi","2:12:05 h:m:s","26:25 h:m:s","47:32 h:m:s","1,628 C","354 ft","71 ft","110 ft","255 ft","51 ft","90 ft","7.9 mph","15.8 mph","7:36 min/mi","3:47 min/mi","--","--","80 spm","108 spm","--","--","--","--","--","--","1.31 m"
"10/24/2016","7","28.38 mi","4.05 mi","6.66 mi","4:03:08 h:m:s","34:44 h:m:s","50:34 h:m:s","2,560 C","742 ft","124 ft","298 ft","862 ft","123 ft","291 ft","6.9 mph","38.6 mph","8:41 min/mi","1:33 min/mi","136 bpm","163 bpm","77 spm","116 spm","--","--","--","--","--","--","1.18 m"
"10/17/2016","9","25.68 mi","2.85 mi","5.89 mi","4:08:12 h:m:s","27:35 h:m:s","1:15:05 h:m:s","2,337 C","433 ft","62 ft","151 ft","508 ft","85 ft","171 ft","7.6 mph","40.0 mph","7:51 min/mi","1:30 min/mi","119 bpm","163 bpm","76 spm","121 spm","--","--","--","--","--","--","1.51 m"
"10/10/2016","3","14.47 mi","4.82 mi","6.71 mi","1:38:15 h:m:s","32:45 h:m:s","50:36 h:m:s","1,252 C","217 ft","72 ft","161 ft","235 ft","78 ft","160 ft","9.2 mph","16.8 mph","6:32 min/mi","3:35 min/mi","--","--","84 spm","119 spm","--","--","--","--","--","--","1.45 m"
"10/03/2016","9","34.15 mi","3.79 mi","10.60 mi","4:01:47 h:m:s","26:52 h:m:s","1:07:59 h:m:s","3,024 C","1,143 ft","127 ft","380 ft","1,098 ft","122 ft","470 ft","8.0 mph","46.7 mph","7:30 min/mi","1:17 min/mi","--","--","79 spm","121 spm","--","--","--","--","--","--","1.35 m"
"09/26/2016","7","25.50 mi","3.64 mi","7.23 mi","3:12:27 h:m:s","27:30 h:m:s","51:10 h:m:s","2,294 C","524 ft","87 ft","222 ft","529 ft","88 ft","230 ft","7.5 mph","15.8 mph","7:57 min/mi","3:48 min/mi","--","--","79 spm","121 spm","--","--","--","--","--","--","1.27 m"
"09/19/2016","9","28.29 mi","3.14 mi","6.23 mi","3:46:40 h:m:s","25:11 h:m:s","45:11 h:m:s","2,532 C","623 ft","78 ft","206 ft","644 ft","80 ft","204 ft","7.3 mph","139.8 mph","8:16 min/mi","0:26 min/mi","--","--","79 spm","120 spm","--","--","--","--","--","--","1.21 m"
"09/12/2016","8","32.67 mi","4.08 mi","7.64 mi","5:00:51 h:m:s","37:36 h:m:s","1:03:50 h:m:s","2,893 C","1,189 ft","170 ft","637 ft","1,287 ft","184 ft","649 ft","8.8 mph","28.3 mph","6:47 min/mi","2:07 min/mi","--","--","72 spm","116 spm","--","--","--","--","--","--","1.55 m"
"09/05/2016","8","31.15 mi","3.89 mi","8.22 mi","5:10:59 h:m:s","38:52 h:m:s","1:35:58 h:m:s","2,730 C","1,426 ft","178 ft","549 ft","1,385 ft","198 ft","548 ft","6.4 mph","36.1 mph","9:26 min/mi","1:40 min/mi","--","--","67 spm","118 spm","67 rpm","--","--","--","--","--","1.24 m"
"08/29/2016","6","28.31 mi","4.72 mi","8.86 mi","5:12:15 h:m:s","52:03 h:m:s","1:31:55 h:m:s","2,483 C","1,258 ft","210 ft","356 ft","1,337 ft","223 ft","425 ft","5.7 mph","19.9 mph","10:27 min/mi","3:01 min/mi","--","--","60 spm","118 spm","60 rpm","--","--","--","--","--","1.26 m"
"08/22/2016","9","48.61 mi","5.40 mi","8.83 mi","8:27:48 h:m:s","56:25 h:m:s","1:34:54 h:m:s","4,332 C","840 ft","105 ft","134 ft","917 ft","102 ft","135 ft","6.0 mph","20.5 mph","10:02 min/mi","2:56 min/mi","--","--","60 spm","122 spm","60 rpm","--","--","--","--","--","1.32 m"
"08/15/2016","3","15.01 mi","5.00 mi","6.07 mi","2:18:23 h:m:s","46:08 h:m:s","53:25 h:m:s","1,189 C","290 ft","97 ft","171 ft","239 ft","80 ft","121 ft","6.4 mph","34.8 mph","9:22 min/mi","1:43 min/mi","157 bpm","184 bpm","53 spm","116 spm","47 rpm","--","--","--","11.1 cm","222 ms","1.64 m"
"08/08/2016","2","7.93 mi","3.97 mi","6.41 mi","1:10:25 h:m:s","35:13 h:m:s","58:30 h:m:s","718 C","122 ft","122 ft","122 ft","135 ft","135 ft","135 ft","7.1 mph","15.1 mph","8:26 min/mi","3:58 min/mi","--","--","67 spm","121 spm","--","--","--","--","--","--","1.42 m"
"08/01/2016","3","19.34 mi","6.45 mi","8.49 mi","4:53:39 h:m:s","1:37:53 h:m:s","2:59:12 h:m:s","1,630 C","2,742 ft","914 ft","2,102 ft","2,762 ft","921 ft","2,121 ft","4.9 mph","54.5 mph","12:16 min/mi","1:06 min/mi","--","--","54 spm","119 spm","--","--","--","--","--","--","1.18 m"
"07/25/2016","4","18.74 mi","4.69 mi","8.12 mi","2:49:27 h:m:s","42:22 h:m:s","1:00:31 h:m:s","1,684 C","646 ft","161 ft","338 ft","1,042 ft","261 ft","451 ft","6.2 mph","13.8 mph","9:44 min/mi","4:21 min/mi","--","--","60 spm","120 spm","--","--","--","--","--","--","1.35 m"
"07/18/2016","3","10.50 mi","3.50 mi","4.17 mi","1:26:41 h:m:s","28:54 h:m:s","34:21 h:m:s","953 C","137 ft","46 ft","85 ft","137 ft","46 ft","84 ft","7.6 mph","17.9 mph","7:56 min/mi","3:21 min/mi","--","--","70 spm","119 spm","--","--","--","--","--","--","1.42 m"
"07/11/2016","3","24.60 mi","8.20 mi","9.81 mi","4:05:28 h:m:s","1:21:49 h:m:s","2:11:43 h:m:s","2,192 C","1,377 ft","688 ft","971 ft","1,792 ft","597 ft","942 ft","6.7 mph","14.7 mph","8:55 min/mi","4:06 min/mi","--","--","67 spm","121 spm","--","--","--","--","--","--","1.33 m"
"07/04/2016","4","15.57 mi","3.89 mi","5.35 mi","2:51:18 h:m:s","42:50 h:m:s","1:30:13 h:m:s","1,370 C","500 ft","125 ft","239 ft","489 ft","163 ft","242 ft","6.9 mph","19.2 mph","8:41 min/mi","3:07 min/mi","--","--","65 spm","124 spm","--","--","--","--","--","--","1.39 m"
"06/27/2016","3","25.58 mi","8.53 mi","15.39 mi","4:07:00 h:m:s","1:22:20 h:m:s","2:42:49 h:m:s","2,331 C","2,843 ft","948 ft","2,322 ft","2,848 ft","949 ft","2,344 ft","6.8 mph","22.4 mph","8:50 min/mi","2:41 min/mi","--","--","73 spm","115 spm","--","--","--","--","--","--","1.24 m"
"06/20/2016","2","12.25 mi","6.13 mi","6.88 mi","1:33:40 h:m:s","46:50 h:m:s","54:54 h:m:s","1,128 C","1,039 ft","520 ft","777 ft","1,039 ft","520 ft","777 ft","7.9 mph","12.3 mph","7:35 min/mi","4:54 min/mi","--","--","82 spm","120 spm","--","--","--","--","--","--","1.29 m"
"06/13/2016","5","31.84 mi","6.37 mi","7.85 mi","4:20:59 h:m:s","52:12 h:m:s","1:03:07 h:m:s","2,916 C","2,948 ft","590 ft","1,390 ft","2,908 ft","582 ft","1,392 ft","7.4 mph","16.5 mph","8:07 min/mi","3:39 min/mi","--","--","79 spm","106 spm","--","--","--","--","--","--","1.24 m"
"06/06/2016","5","8.76 mi","1.75 mi","2.68 mi","1:18:08 h:m:s","15:38 h:m:s","21:04 h:m:s","782 C","275 ft","69 ft","95 ft","161 ft","54 ft","83 ft","6.6 mph","22.4 mph","9:09 min/mi","2:41 min/mi","165 bpm","187 bpm","75 spm","102 spm","--","--","--","--","12.0 cm","215 ms","1.15 m"
"05/16/2016","6","18.83 mi","3.14 mi","5.70 mi","2:30:09 h:m:s","25:01 h:m:s","45:48 h:m:s","1,681 C","388 ft","78 ft","115 ft","404 ft","67 ft","112 ft","7.3 mph","18.2 mph","8:16 min/mi","3:18 min/mi","162 bpm","191 bpm","77 spm","125 spm","--","--","--","--","12.1 cm","222 ms","1.25 m"
"05/09/2016","4","16.00 mi","4.00 mi","5.37 mi","2:13:50 h:m:s","33:27 h:m:s","43:58 h:m:s","1,257 C","272 ft","68 ft","125 ft","247 ft","62 ft","96 ft","7.0 mph","29.0 mph","8:36 min/mi","2:04 min/mi","152 bpm","184 bpm","58 spm","119 spm","--","--","--","--","5.8 cm","112 ms","1.21 m"
"05/02/2016","7","13.22 mi","1.89 mi","4.44 mi","1:53:12 h:m:s","16:10 h:m:s","39:07 h:m:s","1,181 C","402 ft","80 ft","253 ft","374 ft","75 ft","256 ft","7.9 mph","38.2 mph","7:33 min/mi","1:34 min/mi","147 bpm","207 bpm","58 spm","117 spm","--","--","--","--","--","--","1.37 m"
"04/25/2016","7","15.83 mi","2.26 mi","6.03 mi","1:55:37 h:m:s","16:31 h:m:s","44:52 h:m:s","1,342 C","279 ft","70 ft","116 ft","300 ft","60 ft","116 ft","10.0 mph","17.5 mph","5:59 min/mi","3:26 min/mi","--","--","85 spm","121 spm","--","--","--","--","--","--","1.55 m"
"04/18/2016","10","26.47 mi","2.65 mi","7.42 mi","3:17:54 h:m:s","19:47 h:m:s","55:57 h:m:s","2,303 C","448 ft","75 ft","146 ft","442 ft","88 ft","141 ft","9.2 mph","33.0 mph","6:31 min/mi","1:49 min/mi","--","--","82 spm","122 spm","--","--","--","--","--","--","1.50 m"
"04/11/2016","13","27.25 mi","2.10 mi","6.01 mi","3:28:37 h:m:s","16:03 h:m:s","49:45 h:m:s","2,356 C","496 ft","55 ft","117 ft","459 ft","46 ft","115 ft","9.0 mph","25.1 mph","6:39 min/mi","2:23 min/mi","--","--","82 spm","118 spm","--","--","--","--","--","--","1.43 m"
"04/04/2016","3","8.66 mi","2.89 mi","4.35 mi","1:10:46 h:m:s","23:35 h:m:s","35:02 h:m:s","723 C","194 ft","194 ft","194 ft","221 ft","221 ft","221 ft","7.0 mph","17.8 mph","8:32 min/mi","3:22 min/mi","--","--","78 spm","121 spm","--","--","--","--","--","--","1.19 m"
"03/28/2016","6","19.27 mi","3.21 mi","6.09 mi","2:42:00 h:m:s","27:00 h:m:s","57:23 h:m:s","1,693 C","650 ft","130 ft","226 ft","642 ft","161 ft","233 ft","9.2 mph","55.4 mph","6:30 min/mi","1:05 min/mi","--","--","85 spm","121 spm","--","--","--","--","--","--","1.42 m"
"03/21/2016","9","20.77 mi","2.31 mi","5.40 mi","2:47:13 h:m:s","18:35 h:m:s","42:07 h:m:s","1,813 C","1,515 ft","216 ft","1,192 ft","1,513 ft","252 ft","1,196 ft","9.5 mph","129.2 mph","6:19 min/mi","0:28 min/mi","--","--","81 spm","124 spm","--","--","--","--","--","--","1.56 m"
"03/14/2016","8","27.09 mi","3.39 mi","7.48 mi","3:28:21 h:m:s","26:03 h:m:s","51:29 h:m:s","2,348 C","894 ft","149 ft","422 ft","885 ft","148 ft","428 ft","8.7 mph","20.0 mph","6:53 min/mi","3:00 min/mi","--","--","80 spm","120 spm","--","--","--","--","--","--","1.43 m"
"03/07/2016","9","33.40 mi","3.71 mi","6.24 mi","4:11:36 h:m:s","27:57 h:m:s","47:04 h:m:s","2,653 C","776 ft","86 ft","170 ft","790 ft","99 ft","169 ft","8.3 mph","17.9 mph","7:11 min/mi","3:21 min/mi","161 bpm","195 bpm","82 spm","127 spm","--","--","--","--","11.5 cm","214 ms","1.34 m"
"02/29/2016","4","25.57 mi","6.39 mi","8.22 mi","3:14:13 h:m:s","48:33 h:m:s","1:01:25 h:m:s","2,009 C","1,399 ft","350 ft","607 ft","1,376 ft","344 ft","592 ft","7.9 mph","13.5 mph","7:37 min/mi","4:26 min/mi","160 bpm","188 bpm","64 spm","116 spm","--","--","--","--","8.3 cm","244 ms","2.59 m"
"02/22/2016","6","22.91 mi","3.82 mi","7.14 mi","2:46:56 h:m:s","27:49 h:m:s","50:42 h:m:s","1,736 C","632 ft","126 ft","197 ft","636 ft","106 ft","197 ft","8.7 mph","16.9 mph","6:54 min/mi","3:33 min/mi","163 bpm","187 bpm","82 spm","127 spm","--","--","--","--","12.0 cm","220 ms","1.41 m"
"02/15/2016","3","17.34 mi","5.78 mi","6.01 mi","2:10:47 h:m:s","43:36 h:m:s","46:25 h:m:s","1,421 C","933 ft","311 ft","622 ft","931 ft","310 ft","622 ft","8.0 mph","16.8 mph","7:32 min/mi","3:34 min/mi","166 bpm","196 bpm","79 spm","117 spm","--","--","--","--","12.4 cm","225 ms","1.35 m"
"02/08/2016","2","10.04 mi","5.02 mi","6.32 mi","1:17:19 h:m:s","38:40 h:m:s","50:03 h:m:s","906 C","244 ft","122 ft","123 ft","229 ft","115 ft","124 ft","7.9 mph","22.1 mph","7:37 min/mi","2:43 min/mi","--","--","78 spm","108 spm","--","--","--","--","--","--","1.35 m"
"02/01/2016","4","21.31 mi","5.33 mi","7.22 mi","2:31:48 h:m:s","37:57 h:m:s","50:12 h:m:s","1,760 C","645 ft","161 ft","206 ft","620 ft","155 ft","196 ft","8.4 mph","44.9 mph","7:10 min/mi","1:20 min/mi","168 bpm","216 bpm","81 spm","127 spm","--","--","--","--","11.4 cm","224 ms","1.38 m"
"01/25/2016","3","10.86 mi","3.62 mi","5.40 mi","1:19:52 h:m:s","26:37 h:m:s","40:23 h:m:s","888 C","231 ft","116 ft","137 ft","162 ft","54 ft","146 ft","8.9 mph","18.6 mph","6:46 min/mi","3:13 min/mi","169 bpm","198 bpm","56 spm","101 spm","--","--","--","--","5.7 cm","97 ms","1.47 m"
"01/04/2016","3","15.18 mi","5.06 mi","5.51 mi","2:01:15 h:m:s","40:25 h:m:s","44:27 h:m:s","1,383 C","360 ft","120 ft","134 ft","276 ft","92 ft","130 ft","7.5 mph","13.1 mph","7:59 min/mi","4:35 min/mi","--","--","80 spm","95 spm","--","--","--","--","--","--","1.25 m"
"12/21/2015","1","--","--","--","0:02.9 h:m:s","0:02.9 h:m:s","0:02.9 h:m:s","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"04/27/2015","1","0.99 mi","0.99 mi","0.99 mi","4:39 h:m:s","4:39 h:m:s","4:39 h:m:s","72 C","--","--","--","--","--","--","12.8 mph","--","4:41 min/mi","--","--","--","--","--","--","--","--","--","--","--","--"
"Summary","646","2,864.64 mi","4.52 mi","15.39 mi","418:08:13 h:m:s","40:00 h:m:s","5:07:46 h:m:s","258,249 C","124,126 ft","224 ft","2,322 ft","134,786 ft","242 ft","2,620 ft","7.3 mph","142.3 mph","8:12 min/mi","0:25 min/mi","144 bpm","216 bpm","73 spm","127 spm","62 rpm","81 rpm","--","--","10.77 cm","198 ms","1.31 m"
