"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Avg Time","Max Time","Activity Calories","Total Elev Gain","Avg Elevation Gain","Max Elevation Gain","Elevation Loss","Avg Elevation Loss","Max Elevation Loss","Average Speed","Max Speed","Average Pace","Best Pace","Average Heart Rate","Max Heart Rate","Average Run Cadence","Max Run Cadence","Average Bike Cadence","Max Bike Cadence","Average Power","Max Power","Vertical Oscillation","Ground Contact Time","Average Stride Length"
"Jun 2017","13","71.92 mi","5.53 mi","12.54 mi","11:34:45 h:m:s","53:27 h:m:s","1:50:04 h:m:s","6,411 C","5,084 ft","424 ft","1,081 ft","5,012 ft","386 ft","1,176 ft","6.8 mph","15.1 mph","8:51 min/mi","3:59 min/mi","140 bpm","185 bpm","71 spm","120 spm","--","--","--","--","--","--","1.24 m"
"May 2017","24","64.92 mi","2.71 mi","4.86 mi","10:47:28 h:m:s","26:59 h:m:s","1:37:10 h:m:s","5,729 C","1,882 ft","99 ft","303 ft","1,785 ft","99 ft","311 ft","6.5 mph","57.4 mph","9:15 min/mi","1:03 min/mi","128 bpm","175 bpm","73 spm","122 spm","--","--","--","--","--","--","1.32 m"
"Apr 2017","22","71.94 mi","3.27 mi","5.97 mi","13:34:16 h:m:s","37:01 h:m:s","2:08:53 h:m:s","6,151 C","3,531 ft","168 ft","1,129 ft","3,939 ft","188 ft","1,550 ft","6.2 mph","142.3 mph","9:39 min/mi","0:25 min/mi","132 bpm","161 bpm","71 spm","121 spm","--","--","--","--","--","--","1.15 m"
"Mar 2017","27","108.04 mi","4.00 mi","13.21 mi","13:29:48 h:m:s","30:00 h:m:s","1:30:36 h:m:s","9,491 C","2,563 ft","122 ft","585 ft","2,805 ft","140 ft","754 ft","9.1 mph","28.9 mph","6:36 min/mi","2:05 min/mi","139 bpm","175 bpm","80 spm","123 spm","--","--","--","--","12.5 cm","206 ms","1.36 m"
"Feb 2017","8","33.57 mi","4.20 mi","8.02 mi","4:29:43 h:m:s","33:43 h:m:s","1:04:00 h:m:s","2,892 C","656 ft","94 ft","178 ft","731 ft","104 ft","194 ft","7.6 mph","80.9 mph","7:54 min/mi","0:44 min/mi","140 bpm","169 bpm","78 spm","120 spm","--","--","--","--","11.2 cm","201 ms","1.37 m"
"Jan 2017","10","30.19 mi","3.02 mi","5.00 mi","4:42:27 h:m:s","28:15 h:m:s","46:58 h:m:s","2,573 C","589 ft","74 ft","151 ft","639 ft","80 ft","127 ft","7.2 mph","43.1 mph","8:17 min/mi","1:24 min/mi","--","--","66 spm","113 spm","--","--","--","--","--","--","1.43 m"
"Dec 2016","12","40.08 mi","3.34 mi","5.38 mi","7:11:32 h:m:s","35:58 h:m:s","1:26:13 h:m:s","3,322 C","896 ft","100 ft","294 ft","700 ft","78 ft","295 ft","6.9 mph","30.1 mph","8:45 min/mi","2:00 min/mi","--","--","68 spm","116 spm","--","--","--","--","--","--","1.16 m"
"Nov 2016","21","80.39 mi","3.83 mi","6.83 mi","10:28:22 h:m:s","29:55 h:m:s","52:08 h:m:s","12,861 C","3,521 ft","185 ft","648 ft","3,489 ft","184 ft","757 ft","7.8 mph","48.4 mph","7:43 min/mi","1:14 min/mi","147 bpm","181 bpm","75 spm","127 spm","--","--","--","--","7.7 cm","144 ms","1.28 m"
"Oct 2016","29","109.07 mi","3.76 mi","10.60 mi","14:38:54 h:m:s","30:18 h:m:s","1:15:05 h:m:s","9,745 C","2,643 ft","102 ft","380 ft","2,793 ft","107 ft","470 ft","7.8 mph","46.7 mph","7:44 min/mi","1:17 min/mi","128 bpm","163 bpm","78 spm","121 spm","--","--","--","--","--","--","1.37 m"
"Sep 2016","35","125.22 mi","3.58 mi","8.22 mi","18:31:38 h:m:s","31:46 h:m:s","1:35:58 h:m:s","11,119 C","4,273 ft","134 ft","637 ft","4,360 ft","141 ft","649 ft","7.4 mph","139.8 mph","8:08 min/mi","0:26 min/mi","--","--","73 spm","121 spm","67 rpm","--","--","--","--","--","1.31 m"
"Aug 2016","20","111.60 mi","5.58 mi","8.86 mi","20:41:49 h:m:s","1:02:05 h:m:s","2:59:12 h:m:s","9,682 C","4,740 ft","263 ft","2,102 ft","4,875 ft","257 ft","2,121 ft","5.9 mph","54.5 mph","10:11 min/mi","1:06 min/mi","157 bpm","184 bpm","58 spm","122 spm","57 rpm","--","--","--","11.1 cm","222 ms","1.36 m"
"Jul 2016","15","84.79 mi","5.65 mi","15.39 mi","13:55:43 h:m:s","55:43 h:m:s","2:42:49 h:m:s","7,586 C","4,981 ft","356 ft","2,322 ft","5,804 ft","415 ft","2,344 ft","6.7 mph","19.2 mph","8:56 min/mi","3:07 min/mi","--","--","65 spm","124 spm","--","--","--","--","--","--","1.36 m"
"Jun 2016","14","63.05 mi","4.50 mi","7.85 mi","8:36:57 h:m:s","36:56 h:m:s","1:03:07 h:m:s","5,770 C","4,783 ft","368 ft","1,390 ft","4,612 ft","384 ft","1,392 ft","7.2 mph","22.4 mph","8:23 min/mi","2:41 min/mi","165 bpm","187 bpm","78 spm","120 spm","--","--","--","--","12.0 cm","215 ms","1.22 m"
"May 2016","17","48.05 mi","2.83 mi","5.70 mi","6:37:11 h:m:s","23:22 h:m:s","45:48 h:m:s","4,119 C","1,061 ft","76 ft","253 ft","1,025 ft","68 ft","256 ft","7.5 mph","38.2 mph","8:02 min/mi","1:34 min/mi","151 bpm","207 bpm","65 spm","125 spm","--","--","--","--","3.9 cm","74 ms","1.28 m"
"Apr 2016","34","82.81 mi","2.44 mi","7.42 mi","10:31:23 h:m:s","18:34 h:m:s","55:57 h:m:s","7,139 C","1,643 ft","78 ft","226 ft","1,656 ft","75 ft","233 ft","9.1 mph","33.0 mph","6:38 min/mi","1:49 min/mi","--","--","82 spm","122 spm","--","--","--","--","--","--","1.45 m"
"Mar 2016","35","121.50 mi","3.47 mi","8.22 mi","15:44:54 h:m:s","27:00 h:m:s","1:01:25 h:m:s","10,101 C","5,007 ft","167 ft","1,192 ft","4,974 ft","184 ft","1,196 ft","8.9 mph","129.2 mph","6:46 min/mi","0:28 min/mi","161 bpm","195 bpm","80 spm","127 spm","--","--","--","--","10.3 cm","225 ms","1.58 m"
"Feb 2016","15","71.60 mi","4.77 mi","7.22 mi","8:46:50 h:m:s","35:07 h:m:s","50:42 h:m:s","5,823 C","2,455 ft","175 ft","622 ft","2,416 ft","161 ft","622 ft","8.4 mph","44.9 mph","7:11 min/mi","1:20 min/mi","165 bpm","216 bpm","80 spm","127 spm","--","--","--","--","11.9 cm","222 ms","1.38 m"
"Jan 2016","6","26.04 mi","4.34 mi","5.51 mi","3:21:07 h:m:s","33:31 h:m:s","44:27 h:m:s","2,271 C","591 ft","118 ft","137 ft","439 ft","73 ft","146 ft","8.2 mph","18.6 mph","7:19 min/mi","3:13 min/mi","169 bpm","198 bpm","68 spm","101 spm","--","--","--","--","5.7 cm","97 ms","1.34 m"
"Dec 2015","1","--","--","--","0:02.9 h:m:s","0:02.9 h:m:s","0:02.9 h:m:s","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"May 2015","1","0.99 mi","0.99 mi","0.99 mi","4:39 h:m:s","4:39 h:m:s","4:39 h:m:s","72 C","--","--","--","--","--","--","12.8 mph","--","4:41 min/mi","--","--","--","--","--","--","--","--","--","--","--","--"
"Summary","646","2,864.62 mi","4.45 mi","15.39 mi","418:08:13 h:m:s","37:28 h:m:s","5:07:46 h:m:s","258,251 C","124,123 ft","217 ft","2,322 ft","134,785 ft","234 ft","2,620 ft","7.6 mph","142.3 mph","7:57 min/mi","0:25 min/mi","144 bpm","216 bpm","73 spm","127 spm","67 rpm","81 rpm","--","--","10.21 cm","185 ms","1.31 m"
