"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Avg Time","Max Time","Activity Calories","Total Elev Gain","Avg Elevation Gain","Max Elevation Gain","Elevation Loss","Avg Elevation Loss","Max Elevation Loss","Average Speed","Max Speed","Average Pace","Best Pace","Average Heart Rate","Max Heart Rate","Average Run Cadence","Max Run Cadence","Average Bike Cadence","Max Bike Cadence","Average Power","Max Power","Vertical Oscillation","Ground Contact Time","Average Stride Length"
"2018","145","881.04 mi","6.08 mi","13.65 mi","114:46:58 h:m:s","47:30 h:m:s","1:48:33 h:m:s","76,962 C","34,691 ft","271 ft","1,828 ft","40,296 ft","320 ft","2,004 ft","7.7 mph","124.5 mph","7:46 min/mi","0:29 min/mi","152 bpm","203 bpm","77 spm","127 spm","77 rpm","81 rpm","--","--","10.9 cm","196 ms","1.32 m"
"2017","246","1,018.39 mi","4.14 mi","13.51 mi","164:10:14 h:m:s","40:02 h:m:s","5:07:46 h:m:s","91,679 C","52,837 ft","262 ft","2,302 ft","57,347 ft","285 ft","2,620 ft","7.0 mph","142.3 mph","8:37 min/mi","0:25 min/mi","132 bpm","185 bpm","71 spm","123 spm","--","--","--","--","11.8 cm","204 ms","1.27 m"
"2016","253","964.19 mi","3.81 mi","15.39 mi","139:06:19 h:m:s","32:59 h:m:s","2:59:12 h:m:s","89,537 C","36,596 ft","170 ft","2,322 ft","37,142 ft","173 ft","2,344 ft","7.8 mph","139.8 mph","7:43 min/mi","0:26 min/mi","158 bpm","216 bpm","74 spm","127 spm","61 rpm","--","--","--","9.1 cm","178 ms","1.37 m"
"2015","2","0.99 mi","0.50 mi","0.99 mi","4:41.9 h:m:s","2:20.9 h:m:s","4:39 h:m:s","72 C","--","--","--","--","--","--","6.4 mph","--","9:21 min/mi","--","--","--","--","--","--","--","--","--","--","--","--"
"Summary","646","2,864.61 mi","3.63 mi","15.39 mi","418:08:13 h:m:s","30:43 h:m:s","5:07:46 h:m:s","258,250 C","124,124 ft","234 ft","2,322 ft","134,785 ft","259 ft","2,620 ft","7.2 mph","142.3 mph","8:19 min/mi","0:25 min/mi","147 bpm","216 bpm","74 spm","127 spm","69 rpm","81 rpm","--","--","10.60 cm","193 ms","1.32 m"
